actas_counted,actas_percentage,actas_total,blank_votes,created_at,id,null_votes,percentage_gap,pos1_candidate_name,pos1_percentage,pos1_votes,pos2_candidate_id,pos2_candidate_name,pos2_party_id,pos2_party_name,pos2_percentage,pos2_percentage_emitted,pos2_votes,pos3_candidate_id,pos3_candidate_name,pos3_party_id,pos3_party_name,pos3_percentage,pos3_percentage_emitted,pos3_votes,region_code,timestamp,total_emitted_votes,total_valid_votes,vote_gap
86656,93.414,92766,2199063,2026-04-18T01:26:08.432672+00:00,231,945053,0.085,KEIKO SOFIA FUJIMORI HIGUCHI,17.056,2687151,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.006,10.009,1891502,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.921,9.938,1878134,TOTAL,2026-04-18T06:26:07.848395+00:00,18898830,15754714,13368
84917,94.119,90223,2149427,2026-04-18T01:26:08.762241+00:00,232,931877,0.409,KEIKO SOFIA FUJIMORI HIGUCHI,17.063,2651756,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.137,10.129,1886161,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.728,9.787,1822608,PERU,2026-04-18T06:26:07.849086+00:00,18622090,15540786,63553
1739,68.384,2543,49636,2026-04-18T01:26:09.077738+00:00,233,13176,-23.458,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,25.955,55526,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,2.497,1.93,5341,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,25.955,20.064,55526,EXTRANJERO,2026-04-18T06:26:08.209093+00:00,276740,213928,-50185
1197,93.662,1278,33921,2026-04-18T01:26:09.388811+00:00,234,14123,32.355,ROBERTO HELBERT SANCHEZ PALOMINO,36.077,55364,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,36.077,27.475,55364,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,3.722,2.835,5712,010000,2026-04-18T06:26:08.514935+00:00,201505,153461,49652
3215,92.598,3472,96781,2026-04-18T01:26:09.717323+00:00,235,45870,8.914,KEIKO SOFIA FUJIMORI HIGUCHI,18.051,90889,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,14.936,11.639,75205,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,6.022,4.693,30323,020000,2026-04-18T06:26:08.552006+00:00,646162,503511,44882
1270,96.431,1317,38347,2026-04-18T01:26:10.278238+00:00,236,13914,37.722,ROBERTO HELBERT SANCHEZ PALOMINO,40.877,79312,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,40.877,32.203,79312,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,3.155,2.486,6122,030000,2026-04-18T06:26:09.131914+00:00,246288,194027,73190
4127,97.912,4215,73344,2026-04-18T01:26:10.588345+00:00,237,37939,-0.583,JORGE NIETO MONTESINOS,18.664,160940,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,10.049,8.9,86652,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,10.632,9.417,91679,040000,2026-04-18T06:26:09.186647+00:00,973590,862307,-5027
1808,95.158,1900,50184,2026-04-18T01:26:10.888618+00:00,238,17870,28.552,ROBERTO HELBERT SANCHEZ PALOMINO,31.291,84615,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,31.291,25.0,84615,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,2.739,2.188,7406,050000,2026-04-18T06:26:09.760866+00:00,338463,270409,77209
4000,94.34,4240,117696,2026-04-18T01:26:11.205082+00:00,239,50111,38.462,ROBERTO HELBERT SANCHEZ PALOMINO,41.702,254121,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,41.702,32.698,254121,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,3.24,2.54,19744,060000,2026-04-18T06:26:10.339691+00:00,777177,609370,234377
3806,95.556,3983,94305,2026-04-18T01:26:11.504018+00:00,240,46601,17.891,ROBERTO HELBERT SANCHEZ PALOMINO,22.661,150690,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,22.661,18.699,150690,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,4.77,3.936,31722,070000,2026-04-18T06:26:10.645059+00:00,805878,664972,118968
